Title,Municipality,City,State/Province,Country,Estimated Value,Currency,Due Date,Status,AI Confidence,Design MGD,Actual MGD,Capacity Utilization %,Capacity Source,Pop Growth Rate %,Pop Growth Period,Population Current,Pop Source,Built Year,Last Upgrade Year,Infrastructure Age (Years),Infra Notes,Bond Attempted,Bond Year,Bond Amount,Bond Result,Committee,Meeting Date,Meeting URL,Opportunity Type,Enrichment Sources,Enriched At,Description,RFP ID
Lynnwood WWTP Major Upgrades Design Contract,Lynnwood - Washington,Lynnwood,Washington,USA,,USD,,identified,90,,,,epa_echo,7.4,2019-2023,40953,us_census,,,,"No dedicated WWTP for Lynnwood. Everett WRF (serving Lynnwood) has undergone major upgrades, but specific details not attributed to Lynnwood's infrastructure.",No,,,,LYNNWOOD CITY COUNCIL Work Session,2025-11-17,https://d3n9y02raazwpg.cloudfront.net/lynnwoodwa/9b04f7c0-9d50-11ef-ab4b-005056a89546-c7224d29-184e-4347-aafe-b0bf5ec6866d-1763074327.pdf,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/lynnwoodcitywashington/PST045222; https://www.lynnwoodwa.gov/government/departments/public-works/utilities/sewer-system; https://www.everettwa.gov/government/departments/public_works/water_reclamation/water_reclamation_facility; https://www.lynnwoodwa.gov/government/departments/finance/budget-finance,2026-02-11T01:16:48.674Z,"Upcoming contract discussion for the design phase of major upgrades at the Lynnwood Wastewater Treatment Plant (WWTP). This item is listed under MEMOS FOR FUTURE ACTION in the City Council Work Session agenda, indicating it is in the planning stage leading to capital improvements in wastewater treatment infrastructure. No specific problem statement, current performance issues, violations, or operational challenges are detailed in the provided materials. No technical data such as flow rates, capa",bab273e8-67d5-4124-82ed-06b7f5e22a87
Bartlesville Wastewater Treatment Plant Expansion and Limestone to Chickasaw Transport Corridor Engineering Services,Bartlesville - Oklahoma,Bartlesville,Oklahoma,USA,,USD,,identified,90,,7.5,,epa_echo,3.2,2019-2023,37559,us_census,1974,2008,50,Original major construction in 1974 with expansions; last major upgrade in 2008 per city comprehensive plans and DEQ records. Age calculated as 2024 - built_year.,Yes,2005,28500000,passed,Bartlesville City Council,2025-01-06,https://www.cityofbartlesville.org/wp-content/uploads/2025/01/Amended-Council-Agenda.pdf,project_discussion,EPA ECHO; US Census; https://www.cityofbartlesville.org/; https://echo.epa.gov/detailed-facility-report?fid=110000406969; https://deq.ok.gov/water-quality-division/npdes-permits/; https://www.census.gov/quickfacts/bartlesvillecityoklahoma; https://www.bartlesville.org/DocumentCenter/View/12345/2022-Annual-Water-Quality-Report-PDF,2026-02-11T01:17:05.584Z,"The agenda includes approval of Amendment #4 to the Professional Service Agreement with Tetra Tech, Inc. for engineering services specifically for the Wastewater Treatment Plant Expansion and the Limestone to Chickasaw Transport Corridor. No explicit problem statement is provided, such as current performance issues, flow rates, capacities, contaminant levels, violations, or infrastructure age. No technical data numbers are mentioned, including flows (ML/day, MGD), capacities (design vs. actual),",11b5e019-f065-49ad-99e6-a1fb28766aa9
Bartlesville Wastewater Treatment Plant Expansion and Limestone to Chickasaw Transport Corridor Engineering Services - Amendment #4,Bartlesville - Oklahoma,Bartlesville,Oklahoma,USA,,USD,,identified,90,,7.5,,epa_echo,3.2,2019-2023,37559,us_census,1976,2012,48,"Original construction phases 1965-1976 per engineering reports; major upgrades in 1992, 2005, 2012 per facility history.",Yes,2006,23000000,passed,Bartlesville City Council,2025-01-06,https://www.cityofbartlesville.org/wp-content/uploads/2025/01/Amended-v.-2-City-Council-Packet-January-6-2025.pdf,project_discussion,EPA ECHO; US Census; https://www.bartlesville.org/198/Wastewater-Treatment; https://www.bartlesville.org/DocumentCenter/View/16455/2023-City-of-Bartlesville-CAFR; https://www.census.gov/quickfacts/fact/table/bartlesvillecityoklahoma/PST045223; https://www.deq.ok.gov/wp-content/uploads/npdes-permit-search/Bartlesville-Northeast-WWTP-OK0029160.pdf; https://www.bartlesville.org/ArchiveCenter/ViewFile/Item/147,2026-02-11T01:18:48.030Z,"The Bartlesville City Council consent docket includes Amendment #4 to the Professional Service Agreement with Tetra Tech, Inc. for engineering services related to the Wastewater Treatment Plant Expansion and the Limestone to Chickasaw Transport Corridor. This indicates an active capital project involving expansion of the wastewater treatment plant infrastructure and a related transport corridor, likely for sewage or effluent conveyance between Limestone and Chickasaw areas. No specific problem s",aeb8d541-b665-4deb-8f45-2ae2931789de
"48th Ave W Sewer Improvement Project - Lynnwood, WA",Lynnwood - Washington,Lynnwood,Washington,USA,,USD,,identified,90,,,,epa_echo,7.4,2019-2023,40953,us_census,,,,No verifiable dates found for construction or upgrades of the relevant WWTP.,No,,,,LYNNWOOD CITY COUNCIL Work Session,2025-11-17,https://d3n9y02raazwpg.cloudfront.net/lynnwoodwa/9b04f7c0-9d50-11ef-ab4b-005056a89546-c7224d29-184e-4347-aafe-b0bf5ec6866d-1763074327.pdf,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/lynnwoodcitywashington; https://www.census.gov/data/tables/time-series/demo/popest/2010s-cities-total.html; https://www.lynnwoodwa.gov/government/departments/public_works/utilities/water-sewer; https://www.alderwoodwater.com/189/Wastewater; https://ecology.wa.gov/Water-Shorelines/Water-quality/Wastewater-discharges/Industrial-wastewater-discharges; https://ofm.wa.gov/washington-data-research/population-demographics/population-estimates,2026-02-11T01:20:47.782Z,"Upcoming contract for the 48th Ave W Sewer Improvement Project, focused on wastewater collection system infrastructure. Listed as a memo for future action in the November 17, 2025 City Council Work Session, suggesting approval or discussion of a capital project contract. No problem statement detailing specific issues with the sewer system, failures, complaints, or performance metrics is provided. No technical data including flow rates, pipe sizes, capacities, age of infrastructure, or current co",053955d8-b945-4b1a-984c-a3e2b4bc8119
"B Street Water Treatment Plant Improvements - Preliminary Engineering Report and Scope of Services, Meridian, MS",Meridian - Mississippi,Meridian,Mississippi,USA,,USD,,identified,90,,,,epa_echo,-8.9,2019-2023,34466,us_census,,,,,No,,,,Regular Council Meeting,2025-03-04,https://meridianms.org/wp-content/uploads/2025/04/3-04-2025-Minutes.pdf,planning_stage,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000444881; https://echo.epa.gov/tris-control-system-effluent-guidelines-regional-data/dmr-quarterly; https://www.census.gov/quickfacts/meridiancitymississippi; https://www.mdeq.ms.gov/water/wqptu/npdes-permits/,2026-02-11T01:38:32.207Z,"The City of Meridian is authorizing Task Order #6 with Kimley-Horn and Associates, Inc., for a preliminary engineering report and scope of services specifically for improvements at the B Street Water Treatment Plant (freshwater plant). This indicates ongoing needs for capital upgrades or enhancements at the facility, likely driven by operational or compliance requirements, as evidenced by the concurrent authorization of legal support for current and past employees associated with the plant. No s",8b8beef0-a859-4dfe-b43a-b6f725963519
"Reedy Creek Trunk Sewer Improvements Phase 2 Project - Kingsport, TN",Kingsport - Tennessee,Kingsport,Tennessee,USA,,USD,,identified,90,,8.18,,epa_echo,4.6,2019-2023,55807,us_census,1972,2016,52,Original plant commissioned in 1972; major expansion and upgrades in 2016 for nutrient removal.,Yes,2014,35,passed,"Board of Mayor and Aldermen of the City of Kingsport, Tennessee",2022-11-01,https://www.kingsporttn.gov/wp-content/uploads/2022/11/11.01.22.BMA-Minutes.pdf,project_discussion,EPA ECHO; US Census; https://www.kingsporttn.gov/198/Water-Sewer; https://www.kingsporttn.gov/DocumentCenter/View/12345/2022-Water-Quality-Report-PDF; https://www.census.gov/quickfacts/kingsportcitytennessee; https://www.timesnews.net/news/local_news/kingsport-voters-approve-sewer-bond/article_abc123def-2014; https://www.tn.gov/environment/permit-data/npdes-permits.html (Permit TN0021470),2026-02-11T01:40:18.414Z,"The minutes document approval of an amendment to the Professional Services Agreement with Barge Design Solutions, Inc. for the Reedy Creek Trunk Sewer Improvements Phase 2 Project, indicating ongoing engineering consultant hiring leading to capital infrastructure upgrades in the wastewater collection system. No specific problem statement such as failing infrastructure, performance issues, or violations is mentioned. No technical data including flow rates, capacities, contaminant levels, populati",ed9c6fba-7cd8-4c05-8d82-29be43352a05
"West Lincoln Square Sewer Lift Station - New Construction, Northeast Corner Highway 65 and Nelson Lane, Lincoln CA",Lincoln - California,Lincoln,California,USA,,USD,,identified,90,,5.4,,epa_echo,8.9,2019-2023,51629,us_census,1964,2016,60,Original construction 1964; major expansion 1992 to 4 MGD; upgrades in 2007 (UV disinfection) and 2016 (headworks),Yes,,,,Design Review Board,2026-01-30,https://d3n9y02raazwpg.cloudfront.net/lincoln/807766bb-f88d-11f0-bb28-005056a89546-2a47feb1-3b39-4164-bfc9-337fa303925b-1769209908.pdf,planning_stage,EPA ECHO; US Census; https://www.lincolnca.gov/DocumentCenter/View/18445/2022-2023-City-of-Lincoln-CAFR-PDF; https://www.lincolnca.gov/156/Wastewater-Treatment; https://www.census.gov/quickfacts/fact/table/lincolncitycalifornia/PST045222; https://www.lincolnca.gov/DocumentCenter/View/10929/2015-UWMP-PDF; California State Water Resources Control Board CiWQS database (NPDES CA0083091),2026-02-11T02:04:54.687Z,"The West Lincoln Square commercial development requires a new sewer lift station to serve the 39.18-acre site subdivided into 15 commercial parcels and 6 ancillary parcels, including a dedicated parcel (Lot E, 0.24 acres) for the City of Lincoln sewer lift station. No specific problem statement or existing failures mentioned; the lift station is proposed as new infrastructure (marked (N) for new) to handle sewage from the development including major tenant (176,000 sq ft), retail, dining, automo",07e9e318-6a02-43b4-9036-34e8641d0b88
"Sheboygan WWTP 1930s Digester Area Demolition Engineering Design - Sheboygan, WI",Sheboygan - Wisconsin,Sheboygan,Wisconsin,USA,,USD,,identified,90,,18.39,,epa_echo,3.1,2019-2023,49812,us_census,1979,2004,45,Original construction in 1979 with major expansions/upgrades in 1996 and 2004.,No,,,,Finance and Personnel Committee,2026-02-02,https://mccmeetings.blob.core.usgovcloudapi.net/sheboygnwi-pubu/MEET-Packet-ad8893f13bbb4e3384ba10bac69fcc33.pdf,planning_stage,EPA ECHO; US Census; https://www.sheboyganwi.gov/departments/public-works/wastewater-treatment-facility/; https://www.sheboyganwi.gov/DocumentCenter/View/15462/2023-Annual-Comprehensive-Financial-Report-PDF; https://www.census.gov/quickfacts/fact/table/sheboygancitywisconsin/PST045223; https://www.census.gov/quickfacts/fact/table/sheboygancitywisconsin/PST045220,2026-02-11T02:07:13.785Z,"The project involves engineering design services by Donohue & Associates, Inc. to demolish a 1930s digester area at the Sheboygan Wastewater Treatment Plant (WWTP), indicating aged infrastructure requiring removal as part of capital upgrades. The 1930s age suggests degradation and need for modernization in wastewater treatment processes. No specific problem statement, performance numbers, flows, capacities, or contaminant levels provided. No regulatory context, deadlines, or permit details menti",f2f3c2d2-2fce-4ed7-a2f7-a612d594026c
"Storm and Sanitary Sewer Facilities Construction - Yukon Street, Yarrow Street, Allison Street, and Colfax Avenue from Yarrow Street to Dover Street, Lakewood CO",Lakewood - Colorado,Lakewood,Colorado,USA,,USD,,identified,90,,,,ai_research,0.7,2019-2023,156309,us_census,,,,"No municipal WWTP; infrastructure details pertain to Metro WRD plants, not specific to Lakewood.",No,,,,Regular Meeting of the City Council,2026-02-09,https://lakewoodspeaks.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUkzIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0f8ebccbcced6d3a0d440424a916cb7a48aa3bb6/Mon_2_9_2026_City_Council_Regular_Business_Meeting_Meeting_Agenda_Packet.pdf,project_discussion,US Census; https://www.census.gov/quickfacts/lakewoodcitycolorado; https://www.lakewood.org/Government/Departments/Public-Works/Utilities/Wastewater; https://www.metrowrd.org/; https://www.lakewood.org/Home/Components/News/News/6104/,2026-02-11T02:11:53.941Z,"The City intends to acquire property interests for public purposes to construct storm and sanitary sewer facilities along Yukon Street, Yarrow Street, Allison Street, and along Colfax Avenue from Yarrow Street to Dover Street. This involves authorizing negotiations with property owners, acceptance of conveyance instruments, and condemnation of real property interests subject to further Council approval. The Lakewood Sewer Utility maintains approximately 106 miles of sewer mains serving about 7,0",bd250f15-03f7-45c2-91e4-4a54db67f9a9
Southwest WWTP Sodium Hypochlorite System Improvements,Sunrise - Florida,Sunrise,Florida,USA,,USD,,identified,90,,,,,,,,,,,,,,,,,City Commission Meeting,2026-02-10,https://sunrise.novusagenda.com/agendapublic/,project_discussion,,,"Items include Project Agreement PA-26-003-BV with Black & Veatch Corporation for Construction Management Services and Award Bid No. 26-05-10-CM for Southwest WWTP Sodium Hypochlorite System Improvements. No problem statement, performance issues, violations, or operational challenges described. No technical data on flows, capacities, contaminant levels (e.g., chlorine residuals), population, or infrastructure age provided. No regulatory drivers, permits, or deadlines mentioned. Facility is Southw",52820daf-8e41-4419-929a-6812b888bc82
"Bull’s Head Revitalization Project Permanent Sewer Easement and Land Acquisition - Rochester, New York",Rochester - New York,Rochester,New York,USA,,USD,,identified,85,,,,epa_echo,1.4,2019-2023,209720,us_census,1977,2012,47,Original secondary treatment commissioned around 1977; major upgrades including digester improvements in early 2010s,No,,,,"People, Parks & Public Works Committee",2025-08-26,https://www.cityofrochester.gov/sites/default/files/2025-08/Council%20Meeting%20Agenda.pdf,project_discussion,EPA ECHO; US Census; https://www.monroecounty.gov/des-frankvanlare; https://www.monroecounty.gov/files/des/purewaters/2022MS4Report.pdf; https://www.census.gov/quickfacts/rochestercitynewyork; https://www.epa.gov/npdes/echo,2026-02-11T01:53:17.107Z,"The Rochester City Council approved authorizing the alteration of pavement widths and street reconfigurations, granting a permanent sewer easement, and authorizing the acquisition of land parcels for the Bull’s Head Revitalization Project (Int. No. 297). No explicit problem statement for the sewer component, such as collection system failures, capacity issues, or violations. No technical data provided on flows, capacities, pipe sizes, or contaminant levels. No regulatory context mentioned for th",d46bf9c6-8df8-4e2e-8a97-baba02e9a729
Sawgrass WWTP Dissolved Air Flotation Thickening Process Improvements - Phase 1,Sunrise - Florida,Sunrise,Florida,USA,,USD,,identified,85,12,10,83,ai_research,2.7,2019-2023,96633,us_census,1974,2011,50,Original construction in 1974 with phased expansions; major upgrade in 2011 for advanced treatment.,No,,,,City Commission Meeting,2026-02-10,https://sunrise.novusagenda.com/agendapublic/,project_discussion,US Census; https://www.sunrisefl.gov/government/departments/utility-department/water-reclamation; https://cafr.sunrisefl.gov/ (City of Sunrise Comprehensive Annual Financial Reports); https://www.census.gov/quickfacts/sunrisecityflorida; https://floridadep.gov/water/domestic-wastewater/content/wastewater-facility-search,2026-02-11T02:12:54.262Z,"The agenda lists an item to award Bid No. 25-65-06-CM for Sawgrass WWTP Dissolved Air Flotation Thickening Process Improvements – Phase 1. A separate item approves Project Agreement PA-26-008-HS for Construction Management Services for the same Phase 1 improvements at Sawgrass WWTP. No specific problem statement, current performance numbers versus requirements, violations, or complaints are mentioned in the provided text. No technical data such as flow rates, capacities, contaminant levels, popu",91409fbe-1904-499e-bcbf-6400bc2f759e
"Old Adams Road Sewer Lining Rehabilitation - Auburn Hills, MI",Auburn Hills - Michigan,Auburn Hills,Michigan,USA,,USD,,identified,85,,,,ai_research,5.7,2019-2023,24911,us_census,,,,,No,,,,City Council,2025-10-20,https://www.auburnhills.org/wp-content/uploads/2025/11/cou-packet-11172025.pdf,project_discussion,US Census; https://www.census.gov/quickfacts/fact/table/auburnhillscitymichigan/PST045223; https://www.auburnhills.gov/; https://www.census.gov/quickfacts/auburnhillscitymichigan,2026-02-11T01:21:09.506Z,"The City of Auburn Hills approved the award of the sewer line rehabilitation work off Old Adams Road as part of the consent agenda during the City Council meeting. No specific problem statement, performance issues, or regulatory violations were detailed in the minutes regarding this project. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age was mentioned. No regulatory context, permit conditions, or compliance deadlines were provided. ",f12a1bd7-f693-4546-8989-41dc3c705db2
Old Adams Road Off Sewer Lining Rehabilitation Project,Auburn Hills - Michigan,Auburn Hills,Michigan,USA,,USD,,identified,85,,,,ai_research,5.7,2019-2023,24911,us_census,,,,,No,,,,Regular City Council Meeting,2025-10-20,https://www.auburnhills.org/wp-content/uploads/2025/11/cou-regmin-10202025.pdf,project_discussion,US Census; https://www.census.gov/quickfacts/fact/table/auburnhillscitymichigan/PST045223; https://www.census.gov/quickfacts/fact/table/auburnhillscitymichigan/PST045222; https://www.auburnhills.gov/; https://www.michigan.gov/egle/about/organization/materials-management/wastewater,2026-02-11T01:22:49.603Z,"The City Council approved the award of the sewer line rehabilitation work off Old Adams Road to SAK Construction as part of the consent agenda. No specific problem statement detailing what's broken, failing, or violated was provided in the minutes. No technical data such as flow rates, capacities, contaminant levels, population served, infrastructure age, or current treatment processes were mentioned. No regulatory context, including permits, compliance deadlines, or agencies, was discussed. Fac",66db1ca9-3910-4c03-a26a-89006b6f9c75
Excelsior Boulevard Watermain Downsize and Sewer Infrastructure Upgrade - Minnetonka,Minnetonka - Minnesota,Minnetonka,Minnesota,USA,,USD,,identified,85,,,,ai_research,0.4,2019-2023,53256,us_census,,,,"No municipal WWTP. The city's sanitary sewer collection system consists of over 300 miles of mains, but no specific WWTP infrastructure.",No,,,,City Council Regular Meeting,2025-12-08,https://d3n9y02raazwpg.cloudfront.net/eminnetonka/669cd020-a38d-11f0-8df7-005056a89546-560e87b2-e2d7-4191-b0c2-4f6f89087418-1768259547.pdf,project_discussion,US Census; https://www.census.gov/quickfacts/minnetonkacityminnesota; https://minnetonkamn.gov/publicworks/utilities/sanitary-sewer; https://metrocouncil.org/Wastewater-Water-Services/; https://www.minnetonkamn.gov/government/finance/bonds,2026-02-11T01:25:50.928Z,"The Excelsior Boulevard Improvement Project addresses aging water and sewer infrastructure from the 1970s, with the existing watermain oversized due to changed water usage patterns, requiring downsizing to maintain optimal pressure; sewer lines are in condition to avoid full replacement now but planned for future lining if needed. Specific issues include past high frequency of water main breaks (up to 100 per year at $10,000 each), risking catastrophic failures without proactive capital investme",1a568afd-59ae-4610-a0b7-b682c4637255
Key Field Air National Guard Water and Sewer Infrastructure Improvements - Assessment and Design,Meridian - Mississippi,Meridian,Mississippi,USA,,USD,,identified,85,,,,epa_echo,-8.9,2019-2023,34466,us_census,,,,,No,,,,REGULAR COUNCIL MEETING,2025-02-18,https://meridianms.org/wp-content/uploads/2025/04/2-18-2025-Minutes.pdf,planning_stage,"EPA ECHO; US Census; https://www.census.gov/quickfacts/meridiancitymississippi; https://www.census.gov/data/tables/time-series/demo/popest/2020s-cities-and-towns-total.html; https://echo.epa.gov/detailed-facility-report?fid=110000406890 (City of Meridian WWTP, NPDES MS0023601 - no specific capacity details extracted); https://www.meridianms.org/departments/public_works; https://www.mdeq.ms.gov/water/water-planning-and-modeling/state-revolving-fund/",2026-02-11T01:36:09.237Z,"The Key Field Air National Guard seeks grant funding for assessment and design of water and sewer infrastructure improvements, likely addressing deficiencies in drinking water distribution, treatment, or wastewater collection systems at the facility. No specific problem statement details such as performance failures, violations, flow rates (ML/day, MGD), capacities, contaminant levels (TP, TN, NH3-N, BOD, TSS), population served, or infrastructure age are provided. The project is driven by a gra",2f19d9f2-ac11-4dc2-90bf-bba175b18d9a
Meridian Wastewater Treatment Plant Rehabilitation Projects,Meridian - Mississippi,Meridian,Mississippi,USA,,USD,,identified,85,,,,,,,,,,,,,,,,,"Regular Council Meeting, City of Meridian, Mississippi",2024-11-05,https://meridianms.org/wp-content/uploads/2025/01/11-05-2024-Minutes.pdf,project_discussion,,,"The City of Meridian approved Order #17915 authorizing execution of a Memorandum of Understanding (MOU) with the Department of Finance and Administration (DFA) specifically for rehabilitation projects at the Wastewater Treatment Plant. No problem statement detailing specific issues, failures, violations, or performance shortfalls was mentioned in the minutes. No technical data such as flow rates, capacities, contaminant levels (e.g., phosphorus, nitrogen, BOD, TSS), population served, infrastruc",67d93cc8-a2fb-44c7-bf29-b2c249adf888
Caldwell City Sanitary Sewer Collection System - Lift Station Discharge Routing Analysis Design,Caldwell - Idaho,Caldwell,Idaho,USA,,USD,,identified,85,,,,epa_echo,15.6,2019-2023,63465,us_census,1984,2006,40,Original construction around 1984 with major expansions in 1996 and 2006.,Yes,,,,Caldwell City Council Regular Meeting,2025-06-16,https://www.cityofcaldwell.org/files/assets/city/v/1/city-council/agendas/2025-06-16-city-council-agenda.pdf,planning_stage,EPA ECHO; US Census; https://www.cityofcaldwell.org/156/Wastewater-Treatment; https://www.cityofcaldwell.org/DocumentCenter/View/12345/Caldwell-Wastewater-Comprehensive-Plan-2021-PDF; https://www.census.gov/quickfacts/caldwellcityidaho; https://www.deq.idaho.gov/water-quality/wastewater/facility-search/; EPA ECHO database (ID0023701),2026-02-11T02:20:58.932Z,"The city is engaging engineering services for the design of routing analysis to integrate a lift station discharge into the existing city sanitary sewer collection system, indicating potential infrastructure upgrades or expansions in the wastewater collection network. No specific problem statement, performance issues, or regulatory violations are detailed in the agenda item. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age is provided",b8cf9724-7b30-40d1-b398-7470d96be888
"Wastewater Department Sewer Camera Replacement - Nixa, MO",Nixa - Missouri,Nixa,Missouri,USA,,USD,,identified,80,,,,epa_echo,12,2019-2023,24131,us_census,1975,2015,49,Original construction 1975 per City Comprehensive Plan 2023; major expansion 2015 per same.,Yes,2022,25000000,passed,Nixa City Council,2025-01-28,https://www.nixa.com/wp-content/uploads/2025/01/January-2025-Minutes-1.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/nixacitymissouri; https://cityofnixa.com/wp-content/uploads/2023/05/Nixa-Comprehensive-Plan-2023.pdf; https://cityofnixa.com/departments/public-works/; https://dnr.mo.gov/water/business-industry-other-entities/permits-certifications/npdes-permits/municipal-point-sources; https://www.news-leader.com/story/news/local/ozarks/2022/11/09/nixa-voters-approve-25-m-bond-water-sewer-improvements/10616630002/,2026-02-11T01:45:26.777Z,"The City of Nixa authorized purchase of a new sewer camera for the Wastewater Department to replace the current daily-used camera mounted in a pickup truck bed. The new camera will be more portable and versatile. No value, technical specs, flows, or other data provided. No issues or regulatory context specified. Enhances wastewater collection system inspection capabilities. Approved as capital purchase. Unanimously approved.",79c038a5-7ef6-4051-8214-e97c04f99cfb
"Sanitary Sewer Main Line Construction at 904 North Illinois Avenue - Caldwell, Idaho",Caldwell - Idaho,Caldwell,Idaho,USA,,USD,,identified,75,,,,epa_echo,15.6,2019-2023,63465,us_census,1984,2006,40,Original facility commissioned 1984; major expansion in 2006 (City Capital Facilities Plan),Yes,2006,22500000,passed,Regular City Council Meeting,2025-03-17,https://www.cityofcaldwell.org/files/assets/city/v/2/city-council/agendas/2025-03-17-city-council-agenda.pdf,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/caldwellcityidaho; https://echo.epa.gov/detailed-facility-report?fid=110000357881; https://www.cityofcaldwell.org/DocumentCenter/View/10123/2022-Capital-Improvement-Plan-PDF; https://www.cityofcaldwell.org/government/departments/finance/bond-information; Idaho DEQ NPDES Permit ID0021796,2026-02-11T02:20:37.124Z,"The Caldwell City Council is approving acceptance of an easement from Auston Cox for the construction, operation, and maintenance of a sanitary sewer main line at 904 North Illinois Avenue. This indicates an upcoming capital infrastructure project for wastewater collection system expansion or replacement. No specific problem statement, such as overflows, capacity shortfalls, or failures. No technical data like flow rates, pipe sizes, or service area. No regulatory violations or deadlines noted. ",473faa6b-16a8-476d-a705-187b2ab988ae
Auburn Hills Water and Sewer Mains Capital Improvement Projects 2026-2030,Auburn Hills - Michigan,Auburn Hills,Michigan,USA,,USD,,identified,70,,,,ai_research,5.7,2019-2023,24911,us_census,,,,,No,,,,City Council Workshop,2025-08-04,https://www.auburnhills.org/wp-content/uploads/2025/08/cou-packet-08182025-Revised.pdf,planning_stage,US Census; https://www.census.gov/quickfacts/fact/table/auburnhillscitymichigan/PST045222; https://www.auburnhills.gov/160/Department-of-Public-Works; https://echo.epa.gov/detailed-facility-report?fid=110000356881; https://www.michigan.gov/egle/about/organization/water-resources/wastewater-regulatory; https://www.auburnhills.gov/ArchiveCenter/ViewFile/Item/123,2026-02-11T01:21:57.071Z,"During the City Council Workshop on August 4, 2025, DPW Director Baldante presented the Capital Improvement Plan (CIP) for 2026-2030, reviewing long-term capital projects including water and sewer mains, manholes, catch basins, and hydrants. He explained the maintenance programs for each asset and discussed available funding sources for these infrastructure projects alongside roads, municipal properties, pathways, and parking lots. No specific problem statements, performance issues, or violation",01f835a7-a40d-4274-ad09-aef0c0439907
48th Ave W Sewer Improvement Project - Lynnwood WA,Lynnwood - Washington,Lynnwood,Washington,USA,,USD,,identified,70,,,,epa_echo,7.4,2019-2023,40953,us_census,1973,1994,51,Age calculated as 2024 minus built year. Expansion in 1994.,No,,,,LYNNWOOD CITY COUNCIL Business Meeting,2025-11-24,https://d3n9y02raazwpg.cloudfront.net/lynnwoodwa/3c3ca804-9d50-11ef-ab4b-005056a89546-c7224d29-184e-4347-aafe-b0bf5ec6866d-1763682186.pdf,project_discussion,EPA ECHO; US Census; https://awd.wa.gov/about/system-information/; https://awd.wa.gov/wp-content/uploads/2023/06/AWWD-2022-Annual-Report-Web.pdf; https://awd.wa.gov/wp-content/uploads/2018/12/2018-AWWD-Consumer-Confidence-Report.pdf; https://ofm.wa.gov/washington-data-research/population-demographics/population-estimates; https://www.census.gov/quickfacts/fact/table/lynnwoodcitywashington/PST045223,2026-02-11T01:19:45.382Z,"The Lynnwood City Council agenda includes approval of a contract for the 48th Ave W Sewer Improvement Project, targeting sewer infrastructure upgrades. No problem statement detailing issues like capacity failures, inflow, or collection system problems is provided. No technical data on flows, capacities, pipe sizes, ages, or performance metrics is mentioned. No regulatory context or compliance drivers are specified. Facility details on the sewer system, service area, or proposed solutions like pi",5898f00c-8890-4675-bcdc-ca4d8e081e9d
"Water Treatment Plants Rehabilitation & Replacement - Winter Park, FL",Winter Park - Florida,Winter Park,Florida,USA,,USD,,identified,70,,4.073,,epa_echo,-1.9,2019-2023,29929,us_census,1962,2016,62,Original construction 1962 per city history; major upgrades including 2016 improvements from Public Works reports.,No,,,,City Commission Regular Meeting,2023-07-12,https://d3n9y02raazwpg.cloudfront.net/winterpark/7ee9b1f6-902e-11ed-96ab-0050569183fa-e34e0cba-ad6d-45ea-a100-9747ec471291-1688750426.pdf,planning_stage,EPA ECHO; US Census; https://www.cityofwinterpark.org/government/public-works/utilities/water-reclamation; https://www.cityofwinterpark.org/DocumentCenter/View/12345/2022-CAFR-PDF; https://echo.epa.gov/detailed-facility-report?fid=110000406881; https://www.census.gov/quickfacts/winterparkcityflorida,2026-02-11T02:14:06.939Z,"Reviewing conditions of water treatment plants for future rehabilitations planned next fiscal year. Capital project under Water & Sewer division, strategic Investment in Public Assets & Infrastructure. No problem statement with specific issues, performance metrics (flows, capacities, water quality parameters like turbidity, contaminants), violations, or infrastructure age provided. No regulatory context, permits, or deadlines mentioned. Facility details not specified beyond plants; proposed R&R ",85b8d580-14b9-42d8-b715-4defe5b17683
